,Ingredient,id,cal/g,fat(g),carb(g),protein(g),vit_a,vit_c,iron,trans_fat,sat_fat,cholesterol,sodium,carbs,fiber,sugars,calcium,protein,energy,fdcID
0,agave nectar,151,3.1,0.005,0.76,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,alcohol,64,0.431,0.0,0.036,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2,alfalfa,93,0.29,0.007,0.038,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3,almond butter,171,6.086,0.555,0.187,0.209,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4,almond milk,476,0.23,0.01,0.032,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,almonds,77,5.781,0.495,0.227,0.224,0.0,0.0,1.48,0.0,0.008299595141700405,0.0,0.0,8.22,0.01659919028340081,0.011093117408906884,0.44534412955465585,0.03327935222672065,247.0,2045940.0
6,american cheese,465,3.12,0.23,0.088,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,anchovies,439,2.1,0.097,0.0,0.29,0.0,0.0,2.4,0.0,0.0,80.0,35.131736526946106,0.0,0.0,0.0,1.598802395209581,0.11976047904191617,167.0,1850783.0
8,apple,54,0.52,0.002,0.14,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,apple cider,159,0.462,0.001,0.113,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
10,apple juice,85,0.46,0.001,0.11,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,apple pie,175,2.367,0.11,0.345,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,applesauce,503,0.68,0.002,0.17,0.002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,apricots,430,0.48,0.004,0.11,0.014,167.0,0.0,4.8,0.0,0.0,0.0,0.043333333333333335,73.33,0.03333333333333333,0.21109999999999998,0.44333333333333336,0.0111,300.0,2388807.0
14,artic char,24,1.54,0.081,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
15,artichokes,95,0.47,0.002,0.11,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
16,arugula,515,0.25,0.007,0.037,0.026,2353.0,0.5875,1.27,0.0,0.0,0.0,1.2083333333333333,3.53,0.049999999999999996,0.09791666666666667,7.333333333333333,0.09791666666666667,24.0,2071611.0
17,asparagus,14,0.204,0.001,0.039,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
18,avocado,42,1.6,0.15,0.09,0.02,0.0,0.0,0.0,0.0,0.01,0.0,0.0,10.0,0.040119760479041915,0.0,0.0,0.019940119760479044,167.0,2425060.0
19,baby carrots,347,0.41,0.002,0.1,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,bacon,4,5.41,0.42,0.014,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,bagels,264,2.5,0.015,0.49,0.101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,baked beans,246,1.529,0.05,0.216,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,baked potatoes,464,0.93,0.001,0.21,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
24,balsamic vinegar,546,0.88,0.0,0.17,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
25,banana,55,0.89,0.003,0.23,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
26,banana with peel,536,0.556,0.002,0.144,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
27,barbecue sauce,110,1.72,0.006,0.41,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
28,barley,456,1.23,0.004,0.28,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.89,0.008490566037735849,0.01669811320754717,0.0,0.01669811320754717,106.0,2439195.0
29,basil,521,0.24,0.0,0.02,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1485010.0
30,bean sprouts,44,0.3,0.002,0.059,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
31,bean(seed) ,63,1.4,0.006,0.24,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
32,beef,25,2.5,0.15,0.0,0.26,0.0,0.0,4.82,0.0,0.035679999999999996,54.0,1.712,0.0,0.0,0.0,0.0,0.15712,125.0,2038522.0
33,beer,278,0.431,0.0,0.036,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
34,beets,463,0.44,0.002,0.1,0.017,0.0,0.0,0.0,0.0,0.0,0.0,6.303030303030303,6.67,0.024242424242424242,0.15151515151515152,0.0,0.02515151515151515,33.0,1861258.0
35,bell peppers,33,0.4,0.002,0.09,0.02,353.0,4.311111111111111,0.42,0.0,0.0,0.0,0.0,4.71,0.06666666666666667,0.13055555555555556,0.0,0.06555555555555555,18.0,2079108.0
36,berries,13,0.57,0.003,0.14,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
37,biscuits,134,3.525,0.162,0.447,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
38,bison,145,1.79,0.08,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
39,black beans,320,1.32,0.005,0.237,0.089,0.0,0.0,1.54,0.0,0.0,0.0,1.1294117647058823,15.38,0.07294117647058823,0.0,0.36470588235294116,0.06329411764705882,85.0,725322.0
40,blackberries,41,0.43,0.005,0.092,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
41,blue cheese,35,3.53,0.29,0.023,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
42,blueberries,201,0.572,0.003,0.144,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
43,blueberry pie,247,2.456,0.119,0.33,0.027,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
44,bok choy,525,0.13,0.002,0.022,0.015,0.0,3.4692307692307693,0.88,0.0,0.0,0.0,5.076923076923077,1.77,0.06923076923076923,0.06769230769230769,8.153846153846153,0.13615384615384615,13.0,2178962.0
45,bologna,229,2.452,0.206,0.007,0.151,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
46,brazil nuts,218,6.574,0.663,0.121,0.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
47,bread,19,2.654,0.042,0.423,0.135,0.0,0.0,0.0,0.0,0.0,0.0,2.4246575342465753,32.14,0.024657534246575342,0.0,0.0,0.024452054794520547,146.0,2058078.0
48,bread crumbs,174,3.95,0.051,0.713,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
49,breadsticks,198,4.083,0.092,0.691,0.123,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
50,brie cheese,84,3.334,0.28,0.005,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
51,brisket,76,1.552,0.072,0.0,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
52,broccoli,27,0.35,0.004,0.07,0.024,203.0,2.623529411764706,0.73,0.0,0.0,0.0,1.588235294117647,5.41,0.058823529411764705,0.03970588235294118,1.2058823529411764,0.07941176470588236,34.0,539572.0
53,broth,252,2.64,0.147,0.185,0.165,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
54,brown rice,23,1.11,0.009,0.23,0.026,0.0,0.0,1.67,0.0,0.0,0.0,0.0,76.74,0.01346704871060172,0.0,0.1346704871060172,0.026647564469914044,349.0,360294.0
55,brown sugar,154,3.8,0.0,0.98,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
56,brownies,257,4.661,0.288,0.498,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
57,brussels sprouts,16,0.43,0.003,0.09,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
58,bulgur,153,3.42,0.013,0.76,0.12,0.0,0.0,1.64,0.0,0.0016715542521994133,0.0,0.03225806451612903,67.05,0.02346041055718475,0.0033431085043988265,0.13196480938416422,0.036656891495601175,341.0,2017935.0
59,buns,450,2.79,0.039,0.5,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
60,burgers,212,2.95,0.141,0.241,0.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
61,burritos,353,1.8,0.068,0.23,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
62,butter,441,7.17,0.81,0.001,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
63,buttermilk,200,0.402,0.009,0.048,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
64,cabbage,152,0.21,0.005,0.032,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2308747.0
65,caesar dressing,140,0.441,0.021,0.043,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
66,caesar salad,6,0.44,0.021,0.043,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
67,cakes,486,3.91,0.18,0.56,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
68,calamari,227,1.751,0.07,0.081,0.178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
69,calzones,352,3.08,0.21,0.13,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
70,camembert cheese,468,3.0,0.24,0.005,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
71,candies,387,3.94,0.002,0.98,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
72,cantaloupe,37,0.34,0.002,0.08,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
73,capers,496,0.23,0.009,0.049,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
74,cappuccino,449,0.42,0.016,0.042,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
75,carp,469,1.28,0.027,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
76,carrot,45,0.41,0.002,0.1,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
77,carrot cake,188,4.153,0.099,0.786,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
78,cashews,249,5.534,0.432,0.309,0.178,0.0,0.0,6.43,0.0,0.01563922942206655,0.0,0.3432574430823117,28.57,0.006304728546409808,0.012504378283712784,0.0,0.0312784588441331,571.0,2027526.0
79,catfish,378,1.44,0.072,0.0,0.18,70.0,0.008695652173913044,0.25,0.0,0.0076086956521739125,56.0,0.45652173913043476,0.0,0.0,0.0,0.15217391304347827,0.1760869565217391,92.0,1898975.0
80,cauliflower,7,0.25,0.003,0.05,0.018,0.0,0.0,0.59,0.0,0.0,0.0,1.0,4.71,0.09999999999999999,0.09791666666666667,1.0,0.09791666666666667,24.0,2409200.0
81,celery,34,0.16,0.002,0.034,0.007,182.0,0.5857142857142856,0.33,0.0,0.0,0.0,7.5,3.64,0.1285714285714286,0.13,2.5714285714285716,0.0,14.0,447185.0
82,celery root,528,0.42,0.003,0.092,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
83,cereal,415,3.76,0.067,0.73,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
84,cereal bars,459,3.42,0.009,0.78,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
85,challah,479,2.87,0.06,0.48,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
86,champagne,398,0.82,0.0,0.026,0.001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
87,chard,517,0.19,0.002,0.037,0.018,0.0,0.0,1.82,0.0,0.012477064220183487,5.0,1.9174311926605505,10.91,0.01651376146788991,0.025045871559633028,0.42201834862385323,0.04174311926605504,109.0,2436240.0
88,chayote squash,529,0.24,0.005,0.051,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
89,cheddar cheese,290,4.019,0.33,0.013,0.248,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
90,cheese,52,4.02,0.33,0.013,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
91,cheese pizza,11,2.659,0.094,0.335,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
92,cheeseburgers,382,2.69,0.14,0.2,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
93,cheesecake,191,3.21,0.223,0.253,0.057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
94,cherries,501,0.63,0.002,0.16,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
95,cherry pie,172,2.694,0.122,0.387,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
96,cherry tomatoes,471,0.18,0.002,0.039,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
97,chestnuts,173,1.308,0.014,0.281,0.021,0.0,0.20765306122448982,0.64,0.0,0.0,0.0,0.02040816326530612,42.86,0.0,0.0,0.1836734693877551,0.0,196.0,2385503.0
98,chia seeds,543,4.86,0.31,0.42,0.17,1786.0,0.03496932515337424,12.86,0.0,0.007300613496932515,0.0,0.03680981595092025,50.0,0.0803680981595092,0.0,1.460122699386503,0.029222903885480572,489.0,1918616.0
99,chicken,28,1.65,0.036,0.0,0.31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
100,chicken apple sausage,510,1.6,0.1,0.03,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
101,chicken breast,244,1.652,0.036,0.0,0.311,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
102,chicken drumsticks,389,1.84,0.09,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
103,chicken nuggets,438,3.07,0.2,0.15,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
104,chicken salad,484,2.27,0.16,0.029,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
105,chicken soup,326,0.355,0.012,0.034,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
106,chicken thighs,155,1.772,0.083,0.0,0.239,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
107,chicken wings,418,3.28,0.24,0.098,0.17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
108,chickpeas,187,1.64,0.026,0.27,0.09,0.0,0.0,1.15,0.0,0.0,0.0,1.8125,20.8,0.03125,0.00625,0.5,0.0625,128.0,2068232.0
109,chilaquiles,372,1.95,0.12,0.12,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
110,chili,203,0.4,0.004,0.089,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
111,chimichangas,277,2.441,0.112,0.249,0.112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
112,chips,183,5.363,0.35,0.529,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
113,chive,527,0.3,0.007,0.044,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
114,chocolate,324,5.461,0.314,0.607,0.049,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
115,chocolate cake,276,3.707,0.15,0.534,0.052,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
116,chocolate chip cookies,303,4.874,0.281,0.569,0.058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
117,chocolate milk,210,0.831,0.034,0.102,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
118,chow mein,160,4.611,0.184,0.676,0.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
119,chowders,164,0.99,0.062,0.076,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
120,chutney,414,1.2,0.08,0.1,0.05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
121,cilantro,523,0.228,0.005,0.037,0.022,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,399147.0
122,clams,111,1.48,0.02,0.051,0.255,0.0,0.0,1.03,0.0,0.0,14.0,19.689655172413794,2.86,0.0,0.0,1.9655172413793103,0.19689655172413792,29.0,2094798.0
123,cobbler,391,1.99,0.063,0.35,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
124,cocoa,270,2.237,0.135,0.573,0.198,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
125,coconut milk,548,2.3,0.24,0.06,0.023,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
126,coconuts,267,3.537,0.333,0.152,0.033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
127,cod,196,0.847,0.005,0.0,0.189,118.0,0.035,0.85,0.0,0.0059,32.0,4.18,5.29,0.006,0.0,0.35,0.1235,100.0,2099857.0
128,coffee,384,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
129,coffee creamer,436,1.32,0.099,0.112,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
130,colby cheese,157,3.94,0.313,0.025,0.243,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
131,coleslaw,87,1.523,0.097,0.148,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
132,collards,185,0.313,0.006,0.053,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
133,cookies,455,4.92,0.25,0.65,0.051,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
