,Ingredient,id,cal/g,fat(g),carb(g),protein(g),vit_a,vit_c,iron,trans_fat,sat_fat,cholesterol,sodium,carbs,fiber,sugars,calcium,protein,energy,fdcID
134,corn,47,0.96,0.015,0.21,0.034,0.0,0.0,0.0,0.0,0.0,0.0,4.285714285714286,12.8,0.014285714285714287,0.1142857142857143,0.05357142857142857,0.014285714285714287,56.0,2122593.0
135,corn chips,310,5.18,0.281,0.632,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
136,corn dogs,315,2.629,0.109,0.32,0.099,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
137,corn nuts,547,4.36,0.14,0.72,0.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
138,corn on the cob,205,1.061,0.024,0.22,0.031,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
139,corn starch,544,3.8,0.0005,0.914,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
140,cornbread,400,2.66,0.071,0.44,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
141,corned beef,259,2.508,0.19,0.005,0.179,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
142,cornmeal,228,3.7,0.018,0.793,0.07,0.0,0.0,0.86,0.0,0.0,0.0,0.0,80.95,0.006722689075630252,0.0,0.0,0.02,357.0,2096495.0
143,cottage cheese,1,0.98,0.043,0.034,0.11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
144,country rice,534,1.5204,0.068,0.316,0.0386,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
145,couscous,472,1.12,0.002,0.23,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
146,crab,422,0.83,0.007,0.0,0.18,175.0,0.0,0.95,0.0,0.0,105.0,3.169491525423729,0.0,0.0,0.0,0.7457627118644068,0.1933050847457627,118.0,475600.0
147,crackers,355,5.1,0.26,0.61,0.066,0.0,0.0,5.0,0.0,0.02142,0.0,1.214,64.29,0.014199999999999999,0.01428,0.142,0.028579999999999998,500.0,575678.0
148,cranberries,473,0.46,0.001,0.12,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
149,cranberry juice,343,0.453,0.001,0.111,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
150,crawfish,123,0.77,0.01,0.0,0.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
151,cream,341,3.363,0.366,0.027,0.028,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
152,cream cheese,495,3.5,0.34,0.055,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,crepes,487,1.65,0.083,0.16,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,crispbread,443,3.66,0.013,0.82,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
155,croissants,132,4.062,0.212,0.459,0.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
156,croutons,306,4.081,0.067,0.723,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
157,cucumbers,31,0.1,0.0,0.02,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
158,cupcakes,272,3.055,0.036,0.672,0.042,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
159,curries,385,1.04,0.046,0.032,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
160,custard,239,1.175,0.04,0.172,0.04,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
161,dark chocolate,131,5.75,0.46,0.27,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
162,dates,444,2.82,0.004,0.75,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
163,deprecated,231,0.905,0.003,0.234,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
164,deprecated,453,0.52,0.002,0.003,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
165,deprecated,458,0.3,0.001,0.076,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
166,deprecated,470,0.93,0.001,0.21,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
167,donuts,368,4.21,0.23,0.48,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
168,duck,20,3.37,0.28,0.0,0.19,0.0,0.0,1.33,0.032119914346895075,0.0071306209850107065,0.0,2.284796573875803,66.67,0.007066381156316916,0.0,0.14346895074946467,0.014282655246252676,467.0,2404802.0
169,dumplings,371,2.3,0.054,0.39,0.062,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
170,edamame,281,1.22,0.051,0.098,0.11,0.0,0.0,2.12,0.0,0.0,0.0,0.05660377358490566,8.24,0.04433962264150944,0.02216981132075472,0.5566037735849056,0.09990566037735849,106.0,2406203.0
171,eel,386,2.36,0.15,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
172,egg rolls,139,1.966,0.045,0.287,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
173,egg salad,348,2.12,0.184,0.024,0.081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
174,egg whites,128,0.52,0.002,0.007,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
175,egg yolks,300,3.228,0.267,0.036,0.159,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
176,eggnog,118,0.878,0.042,0.08,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
177,eggplant,335,0.248,0.002,0.059,0.01,0.0,0.060169491525423724,0.0,0.0,0.0060169491525423726,0.0,3.211864406779661,6.43,0.017796610169491526,0.051440677966101696,0.0,0.018135593220338985,118.0,2439909.0
178,eggs,179,1.555,0.105,0.012,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
179,empanadas,288,3.355,0.18,0.312,0.111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
180,enchiladas,202,1.681,0.092,0.158,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
181,endive,530,0.17,0.002,0.034,0.013,0.0,0.0,1.18,0.0,0.0,0.0,0.6666666666666666,3.53,0.13333333333333333,0.06555555555555555,1.8333333333333333,0.06555555555555555,18.0,2406215.0
182,energy drinks,282,0.459,0.001,0.12,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
183,english muffins,301,2.355,0.018,0.458,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
184,fajitas,417,2.0,0.079,0.18,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
185,falafel,97,3.341,0.178,0.307,0.133,0.0,0.03333333333333333,2.57,0.0,0.02767441860465116,0.0,1.4651162790697674,12.5,0.0,0.0,0.5503875968992248,0.02767441860465116,129.0,2187951.0
186,fennel,550,0.31,0.002,0.07,0.012,0.0,0.0,1.8,0.0,0.010183299389002037,0.0,1.7148676171079429,67.86,0.004073319755600814,0.003991853360488799,0.054989816700611,0.016374745417515272,491.0,1916833.0
187,feta cheese,319,2.641,0.211,0.042,0.138,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
188,figs,70,2.75,0.0,0.65,0.025,0.0,0.0,0.0,0.0,0.0,0.0,0.04363636363636364,65.0,0.02727272727272727,0.16363636363636364,0.5163636363636364,0.00909090909090909,275.0,2437139.0
189,fish,49,0.9,0.13,0.0,0.184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
190,fish oil,256,9.033,1.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
191,flatbread,481,2.75,0.012,0.56,0.091,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
192,flounder,317,0.703,0.019,0.0,0.124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
193,flour,318,3.641,0.01,0.76,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
194,focaccia,298,2.496,0.079,0.355,0.089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
195,french dressing,176,4.532,0.442,0.156,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
196,french fries,356,3.12,0.15,0.41,0.034,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
197,french toast,109,2.292,0.109,0.248,0.078,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
198,fried chicken,207,2.461,0.118,0.019,0.304,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
199,fried eggs,388,1.96,0.15,0.008,0.14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
200,fried rice,194,1.577,0.022,0.299,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
201,fritters,369,2.76,0.2,0.2,0.046,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
202,frostings,230,4.217,0.163,0.686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
203,frozen yogurt,275,1.633,0.059,0.245,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
204,fruit cocktail,403,0.73,0.001,0.19,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
205,fruit punch,69,0.45,0.0,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
206,fruit salad,375,0.59,0.003,0.15,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
207,fudge,305,4.114,0.103,0.762,0.024,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
208,garden salad,3,0.646,0.034,0.032,0.061,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
209,garlic,122,1.49,0.005,0.33,0.064,0.0,0.47904191616766467,0.0,0.0,0.0,0.0,0.0,33.33,0.0,0.0,3.9940119760479043,0.0,167.0,1662203.0
210,garlic bread,322,3.501,0.167,0.421,0.082,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
211,gelatin,120,0.618,0.0,0.141,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
212,ginger,540,0.8,0.008,0.18,0.018,0.0,0.0,0.0,0.0,0.0,0.0,2.0,75.0,0.0,0.0,0.0,0.0,125.0,2064396.0
213,gnocchi,429,2.01,0.012,0.41,0.06,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
214,goat cheese,425,2.64,0.21,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
215,gorgonzola cheese,394,3.53,0.29,0.023,0.21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
216,gouda cheese,381,3.56,0.27,0.022,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
217,goulash,410,1.07,0.039,0.1,0.076,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
218,granola,294,4.693,0.204,0.647,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
219,granola bars,311,4.712,0.2,0.653,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
220,grape juice,65,0.67,0.004,0.17,0.006,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
221,grapefruit juice,166,0.389,0.001,0.091,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
222,grapefruits,68,0.42,0.001,0.11,0.008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
223,grapes,440,0.69,0.002,0.18,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
224,gravy,170,0.791,0.059,0.052,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
225,greek salad,409,1.13,0.094,0.047,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
226,greek yogurt,545,0.59,0.004,0.036,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
227,green beans,43,0.31,0.001,0.07,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
228,green onions,535,0.32,0.002,0.07,0.018,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
229,green peas,186,0.774,0.004,0.136,0.05,449.0,0.08481012658227849,1.21,0.0,0.0,0.0,0.13924050632911392,12.36,0.056962025316455694,0.04265822784810127,0.0,0.07113924050632911,79.0,1887997.0
230,grilled chicken,105,2.262,0.149,0.001,0.226,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
231,grits,339,0.59,0.002,0.13,0.014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
232,ground beef,66,3.321,0.295,0.0,0.142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
233,ground chicken,416,1.89,0.11,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
234,ground pork,90,3.93,0.33,0.014,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
235,ground turkey,421,2.58,0.17,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
236,guacamole,22,2.0,0.171,0.086,0.029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
237,gumbo,158,0.867,0.033,0.098,0.041,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
238,gyros,397,1.85,0.1,0.11,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
239,haddock,330,0.904,0.006,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
240,half and half,106,1.3,0.12,0.043,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
241,halibut,497,1.11,0.016,0.0,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
242,ham,48,1.45,0.06,0.015,0.21,0.0,0.1288,0.64,0.0,0.0,45.0,7.144,7.14,0.0,0.04288,0.0,0.12856,125.0,1591327.0
243,hamburgers,190,2.95,0.141,0.241,0.168,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
244,hard boiled eggs,248,1.555,0.105,0.012,0.125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
245,hard cider,419,0.56,0.0,0.059,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
246,hash browns,15,3.26,0.22,0.32,0.026,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
247,havarti cheese,412,3.71,0.3,0.028,0.23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
248,herring,91,0.859,0.059,0.032,0.047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
249,hominy,238,0.721,0.009,0.143,0.015,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
250,honey,359,3.04,0.0,0.82,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
251,honeydew melons,112,0.36,0.001,0.09,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
252,horseradish,407,0.48,0.007,0.11,0.012,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
253,hot chocolate,237,0.77,0.023,0.109,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
254,hot dogs,193,2.902,0.255,0.042,0.098,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
255,hummus,442,1.66,0.096,0.14,0.079,357.0,0.026791277258566976,1.29,0.0,0.011121495327102804,0.0,1.4454828660436136,21.43,0.022118380062305296,0.011121495327102804,0.22118380062305296,0.022242990654205607,321.0,1886359.0
256,ice cream cones,208,4.189,0.071,0.79,0.079,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
257,ice cream soda,480,0.51,0.0,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
258,ice creams,362,2.07,0.11,0.24,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
259,ice pop,420,0.79,0.002,0.19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
260,iced tea,260,0.373,0.001,0.093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
261,india pale ale beer,142,0.556,0.0,0.017,0.003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
262,italian dressing,383,2.31,0.205,0.119,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
263,jalapenos,448,0.29,0.004,0.065,0.009,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
264,jambalaya,408,1.56,0.074,0.15,0.071,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
265,jams,494,2.78,0.001,0.69,0.004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
266,jerky,435,4.1,0.26,0.11,0.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
267,jicama,538,0.38,0.001,0.09,0.007,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
268,kale,72,0.49,0.007,0.09,0.033,0.0,0.0,1.59,0.0,0.0,0.0,0.8301886792452831,9.73,0.033962264150943396,0.0,2.509433962264151,0.06679245283018868,53.0,1602525.0
269,ketchup,113,1.12,0.002,0.26,0.013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
270,kidney beans,163,3.33,0.008,0.6,0.24,0.0,0.0,2.08,0.0,0.0,0.0,0.96,12.31,0.062,0.0077,0.31,0.07690000000000001,100.0,2108502.0
271,kimchi,512,0.3,0.001,0.057,0.016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
272,kiwi,56,0.61,0.005,0.15,0.011,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
273,lager,493,0.43,0.0,0.036,0.005,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
274,lamb,217,2.941,0.211,0.0,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
275,lamb chops,308,2.941,0.211,0.0,0.247,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
